Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
46	229999	8.522071369025442	132.97084	223.6518	824.80774	-1.0	284.61417	346.6318	1058.9564	-1.0	16.063028	0.69239384	18.246565	-3.2120056	8.662547	-16.00726	0.15022324	0.0701636	0.0066496306	0.0040900195	0.7222526	0.17114393	-0.01163476	0.0017530307
47	234999	8.772187209990289	149.04678	208.98036	684.48193	-1.0	581.93005	350.77856	1075.9265	-1.0	17.365364	0.74713343	20.693193	5.3632855	9.076211	-17.306744	0.15334858	0.07619153	0.0012703743	0.0035186147	0.73229754	0.18802008	-0.012069189	0.0018685901
48	239999	8.98890535056591	430.89825	524.4787	1263.149	-1.0	482.10165	448.56296	1235.173	-1.0	18.630167	0.78087467	21.600456	15.643225	2.87774	-18.568346	0.15753867	0.06363976	-0.0031728512	0.0032845882	0.7417226	0.16518682	-0.010569339	0.0023237998
49	244999	9.200507433613142	517.3398	363.30972	985.506	-1.0	474.13037	472.4252	1164.11	-1.0	20.059303	0.95672685	23.727774	16.853615	6.542199	-19.994799	0.15813679	0.038006846	-0.0055334815	0.0027848165	0.7470592	0.111834034	-0.009183622	0.0022358017
50	249999	9.437153486940597	240.66393	328.9629	997.76666	-1.0	859.8132	529.20374	1229.8826	-1.0	21.56025	1.0501715	25.528927	17.8079	3.4369462	-21.4865	0.16034952	0.032016464	-0.005083461	0.00258165	0.7653986	0.10565364	-0.0071176924	0.0023201166
51	254999	9.622867446078194	423.44772	456.86136	1243.2566	-1.0	395.31186	520.7086	1197.491	-1.0	23.14511	1.182113	27.160177	19.594982	4.0349717	-23.070265	0.16505666	0.044267476	-0.007575146	0.0028896926	0.7772705	0.13511747	-0.008711734	0.0025372703
52	259999	9.881227240628666	617.99725	504.56403	1255.2847	-1.0	1116.012	372.96512	1256.0114	-1.0	24.925016	1.3086545	30.267736	20.707958	4.1099772	-24.844877	0.16622211	0.039485883	-0.00904743	0.0027478081	0.797875	0.13246076	-0.0063177515	0.0028325103
53	264999	10.115844401187367	1278.0283	23.7807	1301.8091	1254.2477	926.4835	541.6899	1297.9718	-1.0	26.939707	1.4101294	31.588976	21.212227	17.70619	-26.864	0.16963422	0.048725676	-0.0074040787	0.002452499	0.8154158	0.20483449	-0.002533683	0.002861211
54	269999	10.312864543530676	1129.8002	227.24973	1294.6228	808.45624	533.12036	576.0629	1250.6841	-1.0	29.180437	1.4223024	33.787315	24.101313	4.1622663	-29.106731	0.17007057	0.035379946	-0.007618057	0.002535453	0.82026154	0.16555986	0.0018723774	0.0030890414
55	274999	10.546040234300825	286.8852	431.11172	1254.8817	-1.0	852.83124	526.3291	1220.0214	-1.0	31.195044	1.4111811	36.27074	26.060987	5.4895506	-31.109137	0.17039764	0.029577687	-0.008582285	0.002596449	0.826835	0.15504459	0.0057003507	0.0029743868
56	279999	10.80570714712143	387.82703	497.84277	1307.1333	-1.0	1077.8702	360.1154	1217.883	-1.0	32.988274	1.4074309	37.77729	27.142334	6.163124	-32.89761	0.17226906	0.026360609	-0.008588312	0.0027163504	0.83542734	0.1453059	0.009122074	0.0033072303
57	284999	11.054526639779409	536.4791	577.18494	1249.8334	-1.0	980.0596	457.13986	1257.4945	-1.0	34.710075	1.4241004	41.634453	29.142452	5.411554	-34.617664	0.17510323	0.030570906	-0.0070111817	0.0027686623	0.84541017	0.1725356	0.013191049	0.0034129908
58	289999	11.279990755518277	756.4919	509.85126	1225.0206	-1.0	794.5436	568.9506	1319.0433	-1.0	36.168137	1.3426567	41.200954	31.253716	4.451627	-36.063007	0.17339112	0.022819875	-0.0037915641	0.0027647957	0.84386307	0.116501875	0.0181889	0.0034813995
59	294999	11.518996238708496	335.52844	248.39093	571.50385	34.211178	959.45135	532.052	1383.877	74.001335	37.461033	1.304027	41.74057	32.36545	5.7044477	-37.349133	0.171708	0.029170476	-0.0004722486	0.0024194012	0.8526364	0.17157999	0.021652078	0.0033828856
60	299999	11.752172788646487	702.569	493.73993	1273.0205	-1.0	958.69666	613.72156	1412.7211	-1.0	38.44157	1.2880908	42.78579	33.09925	11.488452	-38.30971	0.17372261	0.021456474	-0.00018567618	0.0024936434	0.8459512	0.12446523	0.021627324	0.0035157527
61	304999	11.998272868394851	1013.47784	371.23993	1335.8951	404.66742	1124.3997	548.9441	1473.8275	-1.0	39.523476	1.2424889	44.410004	34.2853	14.344509	-39.376793	0.17373398	0.028225387	0.00064027094	0.0024793334	0.8565801	0.164024	0.022685176	0.0041625984
62	309999	12.19276719364855	571.4414	380.31683	1307.4978	232.22319	595.125	685.6672	1463.6847	-1.0	40.74417	1.2397091	46.632683	35.01158	6.123847	-40.5814	0.1733181	0.020485723	0.00061363593	0.0024471353	0.86110383	0.113735616	0.028569812	0.003867474
63	314999	12.437400186724133	657.70874	446.9473	1339.6285	107.287704	1095.399	532.32947	1435.2744	-1.0	41.196655	1.1857121	46.075397	36.50931	4.822014	-41.01732	0.17326172	0.016840054	-0.0010074951	0.0024567517	0.86217386	0.09265208	0.030751504	0.003749814
64	319999	12.653998954229884	736.68823	504.69446	1471.9073	121.18834	808.70917	628.19073	1457.0994	-1.0	41.47219	1.191566	45.11416	36.083694	3.6188157	-41.27257	0.1718508	0.0035589896	-0.0027354362	0.002380221	0.86025256	0.009943996	0.033693172	0.0037090108
65	324999	12.91902068025536	265.63315	286.37534	984.2702	-1.0	1285.1364	428.8649	1441.8287	-1.0	41.485146	1.1990938	45.11071	36.778896	3.6627684	-41.27222	0.1726643	0.0037056077	-0.004626353	0.0022200115	0.8584786	0.010020414	0.03567912	0.003681793
66	329999	13.180583996640312	393.42828	515.40137	1484.4043	-1.0	1297.4503	432.98395	1458.5591	-1.0	41.357986	1.188207	44.820156	36.34772	3.9708133	-41.129536	0.17408313	0.0037978357	-0.0074284393	0.002407238	0.85758644	0.010300985	0.03926339	0.0037218945
67	334999	13.43957362499502	535.4776	535.3467	1424.7393	-1.0	1267.8563	423.0632	1421.7123	-1.0	41.39487	1.2316396	45.238335	35.919056	4.0353627	-41.161747	0.17606588	0.0034475294	-0.009583822	0.0019510576	0.85321045	0.010380472	0.03989549	0.0036559596
68	339999	13.68464384271039	556.317	585.3609	1452.727	-1.0	1110.2991	558.76166	1459.7603	-1.0	41.518814	1.233123	45.300762	36.82616	4.1377707	-41.28416	0.17534998	0.0034821976	-0.01310408	0.0027729736	0.84980506	0.011087041	0.040168498	0.0037643635
