Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
54	269999	11.401193360951211	544.7304	521.8716	1354.1715	-1.0	1539.0596	28.313137	1570.6989	1462.4347	38.45154	0.8550595	41.03288	34.829304	6.384118	-38.171482	0.16719846	0.0031206002	-0.00375027	0.0030553425	0.67452717	0.13302381	0.068959974	0.0020421008
55	274999	11.628429027994473	239.90591	243.32867	1054.5878	-1.0	866.1831	504.6497	1576.8488	-1.0	38.81624	0.887238	41.684944	35.318657	6.637076	-38.541386	0.16378325	0.0030492016	-0.0007032186	0.0025153554	0.6820585	0.15040644	0.06533189	0.00228514
56	279999	11.891769822306102	367.19183	407.8058	1423.41	-1.0	1228.1614	542.4287	1588.3296	-1.0	39.30741	0.8921318	42.349754	35.622646	6.661605	-39.031963	0.16340882	0.0031404267	0.0010272563	0.003048023	0.68356204	0.14571363	0.06354436	0.0021357457
57	284999	12.142078125609292	733.13293	656.23846	1539.5309	-1.0	1040.9824	631.0397	1540.6724	-1.0	39.5414	0.91291976	43.3592	35.27432	6.6523514	-39.25948	0.16286832	0.0033544828	0.0030227206	0.0026523746	0.6835527	0.15206693	0.060561225	0.001824038
58	289999	12.42077038069566	453.90643	434.80173	1308.6718	-1.0	1410.7466	470.85995	1594.1041	-1.0	39.86681	0.894366	42.73782	36.52332	6.6992702	-39.587475	0.16469833	0.0033393665	0.0037164323	0.002439325	0.6841289	0.1417298	0.059502088	0.0019036502
59	294999	12.644843398332595	516.2947	552.2682	1556.6292	-1.0	777.8297	693.837	1543.38	-1.0	40.056892	0.9024167	43.079998	36.59138	6.6929984	-39.759144	0.1639841	0.0033409249	0.0059326654	0.002446706	0.6867504	0.14444552	0.05787322	0.0018022602
60	299999	12.908560365438461	522.9187	509.0638	1382.369	-1.0	1265.7859	569.8848	1578.7236	-1.0	40.052795	0.9123948	43.259815	36.76003	6.4677353	-39.746094	0.16092935	0.0033948708	0.0071488814	0.002365151	0.6844012	0.12694813	0.057867084	0.0018693536
61	304999	13.192981388436424	742.0415	504.6143	1481.4941	-1.0	1471.5182	110.437935	1581.6968	1248.7932	40.21919	0.9163502	43.164574	36.54561	6.3672643	-39.909622	0.1606762	0.0034030415	0.0065105064	0.0025171293	0.68804765	0.13864362	0.057458702	0.0017551652
62	309999	13.468971577948993	289.00735	506.8146	1568.455	-1.0	1410.7314	470.7211	1585.4552	-1.0	40.47825	0.93236625	43.57495	36.145687	6.681182	-40.167145	0.1601071	0.0038231527	0.005237806	0.0022532952	0.6971625	0.14935462	0.057358056	0.0017221436
63	314999	13.735338784654935	1019.7095	623.6321	1565.2417	-1.0	1291.114	563.90564	1618.5409	-1.0	40.801243	0.94146556	44.084755	36.542313	6.8919883	-40.4887	0.16026779	0.0032914116	0.003461388	0.00211586	0.70138144	0.1423558	0.05807652	0.0016916532
64	319999	14.013877502679826	626.2596	752.4218	1571.7212	-1.0	1426.2893	475.90506	1602.8737	-1.0	41.17398	0.944046	44.14827	37.307564	6.064316	-40.85459	0.16102509	0.0031336686	0.00266228	0.0023404444	0.71023566	0.13950631	0.05684398	0.0017496902
65	324999	14.303883227043682	1546.6119	13.170065	1561.2834	1529.3396	1551.3502	13.78173	1583.6842	1530.3936	41.854572	0.92676735	44.791176	37.807693	5.883068	-41.55186	0.1594633	0.0032150454	0.003902372	0.002191447	0.7136334	0.14763854	0.058562946	0.0019947423
66	329999	14.592573635114563	1158.5436	202.77428	1441.9315	978.8422	1544.758	10.942678	1563.0968	1527.9635	42.48875	0.92920154	45.664	39.068855	5.713248	-42.19181	0.15886793	0.003324768	0.003621675	0.0021520143	0.71826226	0.15161452	0.059674736	0.0016848944
67	334999	14.86615935974651	1090.7289	583.61176	1561.4126	130.74359	1417.5709	473.1508	1596.2634	-1.0	42.94317	0.9405714	45.9944	39.617676	5.4669123	-42.638268	0.15770093	0.0032206	0.0045128837	0.0023064907	0.7224291	0.15891647	0.060435094	0.0017265066
68	339999	15.141006907224655	443.4121	637.46783	1546.7051	-1.0	1419.6399	473.75522	1606.3444	-1.0	43.54557	0.94200885	51.65623	39.401295	6.143482	-43.251644	0.15516172	0.002999601	0.004383523	0.0021219433	0.71292156	0.12335154	0.062079486	0.0017227111
69	344999	15.390392259293133	543.9268	652.60144	1491.4381	-1.0	1074.5503	703.3928	1582.4482	-1.0	44.062622	0.94577676	50.54082	39.563606	6.5527415	-43.754425	0.15456907	0.0029740678	0.0035159234	0.0020891028	0.7099487	0.10907617	0.06224255	0.0019427501
70	349999	15.667589675386747	1504.9193	52.930138	1574.6797	1446.5334	1413.3499	471.694	1595.9712	-1.0	44.439304	0.9424157	47.77086	41.012684	5.175495	-44.136982	0.15275814	0.0031935663	0.004221006	0.0020436775	0.7111705	0.119184405	0.06449109	0.0017884918
71	354999	15.944268431597285	903.48926	741.88904	1573.7938	-1.0	1427.6049	476.33414	1606.6603	-1.0	44.923412	0.95021826	51.58772	41.338104	5.4452605	-44.62033	0.15226616	0.0030636876	0.004518168	0.001979033	0.7067238	0.087387875	0.066535585	0.0019905057
72	359999	16.233420096702044	1541.2885	29.95044	1571.2389	1511.338	1580.382	13.926711	1596.9695	1553.0673	45.42863	0.92445797	48.7575	41.25375	4.886398	-45.1283	0.15152903	0.0034161555	0.004904944	0.0019930778	0.7098497	0.10442394	0.06630315	0.0017820008
73	364999	16.505394017762608	1569.1327	6.689779	1574.0465	1559.6743	1339.6263	455.10785	1562.5768	-1.0	46.041927	0.9179747	51.490295	42.783573	5.809896	-45.75426	0.15311469	0.0028812524	0.004066658	0.0020532305	0.7074255	0.107257314	0.067555286	0.00193668
74	369999	16.749805561171637	729.5387	689.54474	1576.9124	-1.0	1053.6465	695.52594	1598.2817	-1.0	46.797813	0.893209	50.164753	43.06634	4.3737345	-46.518173	0.1539493	0.0027673927	0.0036268325	0.0020801437	0.70348066	0.081016794	0.06722249	0.0019135006
75	374999	17.02438989897569	721.2964	582.2433	1536.5903	-1.0	1292.2556	437.359	1527.9734	-1.0	47.493244	0.9018481	58.068916	44.22373	7.23766	-47.21826	0.15198484	0.002998765	0.003182424	0.0019029459	0.7057247	0.052099314	0.06680722	0.0019333201
76	379999	17.263459882471295	1440.5094	148.9953	1556.5426	1230.1721	986.533	662.563	1565.2606	-1.0	48.319344	0.882064	52.861023	44.211903	4.682374	-48.046772	0.15324114	0.0030017053	0.004014143	0.00190303	0.71406263	0.076296784	0.06741538	0.001892615
77	384999	17.50555410312282	583.7141	552.54663	1528.2191	-1.0	1011.4048	673.79126	1566.7408	-1.0	49.001842	0.8348736	51.67917	46.1945	3.8880465	-48.727055	0.15237825	0.0033415994	0.0063738474	0.0019882736	0.71417433	0.067207776	0.06609035	0.0019132751
78	389999	17.764454779028892	1438.1167	150.51463	1556.2714	1225.7045	1183.7019	602.28876	1544.539	-1.6417595	49.478607	0.81724304	51.958584	46.545483	4.0630894	-49.19539	0.15162142	0.002837388	0.0085516125	0.0018873084	0.7181897	0.06078973	0.06504612	0.0020887642
79	394999	18.05707105623351	1004.0845	380.19696	1590.8293	588.4963	1529.0304	31.24767	1571.9568	1486.1252	49.736916	0.80444163	52.086994	46.59037	3.9099078	-49.45474	0.14971308	0.002933682	0.009867572	0.0018321874	0.72436255	0.085286535	0.0650739	0.0017414328
80	399999	18.346094279289247	1319.759	332.02194	1565.9954	850.39874	1575.1257	10.581316	1590.9911	1556.0531	49.91282	0.8058389	52.822292	46.80762	4.128793	-49.62629	0.14747337	0.0028817512	0.012565999	0.0019666825	0.72702616	0.081071064	0.06419063	0.0018585435
81	404999	18.62282166990969	653.9779	702.9705	1558.0696	-1.0	1408.2844	469.91605	1583.8147	-1.0	49.87079	0.80384225	52.373055	46.62574	4.039773	-49.576267	0.14733233	0.002914973	0.012422165	0.0017897087	0.7222738	0.02452241	0.06511275	0.0017407147
82	409999	18.90983005848196	1564.7257	6.75502	1573.0905	1556.5472	1554.492	22.010134	1600.6475	1526.5996	50.02426	0.785766	52.34839	46.837864	5.22105	-49.734287	0.14669567	0.0029878055	0.011473527	0.001853975	0.7283328	0.052414868	0.06409103	0.0021355848
83	414999	19.184736190372043	731.2428	705.5062	1571.891	-1.0	1433.7051	478.3935	1613.5427	-1.0	50.242107	0.7491142	53.498405	47.51732	4.011075	-49.96256	0.14750808	0.0030826495	0.01203614	0.0017751363	0.7300085	0.055521034	0.062081482	0.0020262436
84	419999	19.473101142115063	1577.7212	15.338501	1593.0597	1562.3827	1565.333	13.760283	1583.5846	1546.1852	50.502552	0.7192112	57.378757	47.155018	4.908581	-50.222492	0.14766102	0.0033120685	0.0122182965	0.0023081948	0.73112655	0.072969176	0.060742017	0.0019353468
85	424999	19.758274432288275	1583.4579	13.374358	1602.352	1573.2571	1480.7422	144.43579	1551.2017	1053.2733	50.767593	0.6807476	53.11661	47.878563	3.8453164	-50.486	0.14613633	0.0033276938	0.0094926255	0.0019159913	0.740208	0.071554676	0.060479015	0.001890037
86	429999	20.024171916180187	744.929	698.2782	1566.9327	-1.0	1231.7439	565.14276	1579.3263	-1.0	50.894062	0.665831	56.67958	48.212017	4.931152	-50.607243	0.14713608	0.0034061058	0.010347907	0.0016786138	0.7338652	0.059881628	0.058617406	0.0019893062
87	434999	20.291029688119888	624.8482	645.1133	1557.788	-1.0	1220.7745	462.20026	1515.5612	251.06004	51.074657	0.6251351	53.064213	48.25466	3.5361695	-50.800266	0.14754778	0.0032908835	0.012902222	0.0018819444	0.7272342	0.07399661	0.05492732	0.0018397929
88	439999	20.567800480657155	762.233	691.47107	1547.1198	-1.0	1387.8237	465.5699	1614.2823	-1.0	51.2441	0.6186711	53.299942	48.10549	3.3967226	-50.959946	0.14769195	0.0032976125	0.01115876	0.0018422214	0.72431815	0.056878842	0.055677608	0.0019215827
89	444999	20.833415843314594	759.8456	681.0275	1552.3776	-1.0	1244.1501	508.67636	1590.9948	235.15623	51.05811	0.63558	53.0021	48.432854	3.4405277	-50.75783	0.14689705	0.0032153935	0.012527058	0.0017475057	0.7219524	0.060637932	0.055084355	0.001758925
90	449999	21.10204737404982	750.69904	360.1892	1011.3324	241.36115	1312.9534	456.2592	1561.1201	312.93936	50.670082	0.65386367	52.700775	48.243958	3.491934	-50.358006	0.14665563	0.0031581214	0.011044882	0.0017117192	0.7227696	0.06974187	0.055538084	0.0018418053
91	454999	21.38622464981344	1548.7589	16.294294	1561.7684	1525.7823	1438.1279	406.4218	1594.6523	219.41617	49.95137	0.6897059	52.166206	47.359222	3.618186	-49.620964	0.14446616	0.0032152627	0.011665494	0.0019168498	0.7128083	0.051916573	0.054636046	0.0018406872
92	459999	21.693406743341022	1099.0992	645.02454	1562.1208	-1.0	1566.634	9.950469	1586.9497	1555.7229	49.143505	0.66625243	52.092155	45.1615	3.8449867	-48.811886	0.1448941	0.0030336552	0.013083743	0.001958808	0.71243644	0.06572025	0.053918175	0.0019528039
93	464999	21.98107394542959	858.71564	644.06744	1549.1519	-1.0	1414.0745	396.0194	1556.6781	226.10622	48.752956	0.64332664	50.94737	45.761044	3.5238426	-48.43082	0.14425899	0.0030546207	0.012640404	0.0016246499	0.71287304	0.09240072	0.054836407	0.0017773313
94	469999	22.2753977602058	1182.2402	637.9103	1567.1859	77.55984	1479.3312	42.249737	1518.028	1373.6711	48.528595	0.6449135	50.381706	45.89938	3.429743	-48.20934	0.1441482	0.0031449525	0.012687059	0.0018273706	0.70708597	0.06701986	0.05380425	0.0019123377
95	474999	22.574142385191386	606.93945	682.8597	1563.0493	-1.0	1534.9138	45.752674	1585.8529	1416.8002	48.16745	0.6694458	50.755844	45.077904	3.6435218	-47.84142	0.14313985	0.0033215259	0.012827534	0.0017475025	0.708173	0.09704314	0.054886803	0.0018222032
